Date,Revenue,Quantity,Orders,Customers,Avg_Order_Value,Year,Quarter,Month,Week,Day,DayOfWeek,Weekend,Lag_1,Lag_7,Lag_14,Lag_30,Rolling_Mean_7,Rolling_Mean_14,Rolling_Mean_30,Rolling_STD_7,Rolling_STD_30,Revenue_Growth
2010-01-28,19816.87,11243,56,48,16.765541455160744,2010,1,1,4,28,3,0,28668.3,19018.04,40786.98,73174.39,28388.93571428571,25521.025785714282,28222.8277,10661.889896636305,14617.434211351443,-0.30875322220013046
2010-01-29,28358.431,10162,49,37,24.63808079930495,2010,1,1,4,29,4,0,19816.87,27359.23,22470.18,50262.29,28531.678714285717,25941.61514285714,27492.699066666668,10652.490982075427,14013.17109490567,0.4310247279212107
2010-01-31,18600.35,10735,53,47,13.61665446559297,2010,1,1,4,31,6,1,28358.431,36786.17,31550.9,52545.55,25933.704428571426,25016.57585714286,26361.1924,10520.628590692859,13271.33191332067,-0.34409805676484717
2010-02-01,20157.801,9252,67,49,14.735234649122807,2010,1,2,5,1,0,0,18600.35,15930.84,13507.9,30638.25,26537.556,25491.568785714284,26011.8441,9957.016472965268,13292.786205383103,0.08373234912246286
2010-02-02,21513.02,11094,46,34,19.03807079646018,2010,1,2,5,2,1,0,20157.801,22994.15,17393.2,42470.29,26325.965999999997,25785.841642857144,25313.268433333335,10060.068802739956,12944.131310254781,0.06723049800918268
2010-02-03,21414.701,10285,49,41,14.964850454227811,2010,1,2,5,3,2,0,21513.02,47166.99,21397.71,11382.54,22647.06757142857,25787.055285714287,25647.6738,4128.399465745411,12699.096289877356,-0.004570209110575818
2010-02-04,22500.71,12798,64,52,15.162203504043124,2010,1,2,5,4,3,0,21414.701,28668.3,33233.881,16322.95,21765.983285714286,25020.400214285713,25853.59913333333,3177.895185042758,12592.314433172569,0.05071324600796423
2010-02-05,21844.6,10342,40,35,23.288486140724945,2010,1,2,5,5,4,0,22500.71,19816.87,19018.04,28017.28,22055.659000000003,25222.297357142856,25647.843133333332,3060.8784331135034,12606.163782390147,-0.029159524299455453
2010-02-07,17026.83,11186,30,29,21.417396226415097,2010,1,2,5,7,6,1,21844.6,28358.431,27359.23,10849.35,20436.858857142855,24484.26878571429,25853.759133333333,1976.2949174087107,12404.948985149962,-0.22054741217509122
2010-02-08,17407.0,8616,60,45,13.167170953101362,2010,1,2,6,8,0,0,17026.83,18600.35,36786.17,13445.8,20266.380285714287,23100.04235714286,25985.799133333334,2199.9351851089305,12288.861333793719,0.02232770280786256
2010-02-09,19618.82,10891,54,51,18.82804222648752,2010,1,2,6,9,1,0,17407.0,20157.801,15930.84,19114.34,20189.383,23363.4695,26002.615133333333,2213.7575032953264,12279.475815616004,0.12706497386109028
2010-02-10,9542.04,3761,31,24,11.25240566037736,2010,1,2,6,10,2,0,19618.82,21513.02,22994.15,8736.75,18479.243,22402.604499999998,26029.458133333337,4482.301864277961,12241.251740987758,-0.5136282406383258
2010-02-11,15080.27,9035,56,48,18.640630407911,2010,1,2,6,11,3,0,9542.04,21414.701,47166.99,73039.89,17574.324285714287,20110.695928571426,24097.470800000003,4430.013894706793,8597.364965609186,0.5804031423049996
2010-02-12,11380.41,7652,32,27,14.8182421875,2010,1,2,6,12,4,0,15080.27,22500.71,28668.3,30293.95,15985.710000000001,18875.846642857145,23467.019466666665,4362.330592225523,8817.946161308753,-0.24534441359471681
2010-02-14,17785.58,10895,46,39,15.43887152777778,2010,1,2,6,14,6,1,11380.41,21844.6,19816.87,23597.85,15405.850000000002,18730.754500000003,23273.277133333333,3668.306735239029,8878.615563953099,0.5628241864748285
2010-02-15,42469.531,96425,45,35,48.59214073226545,2010,1,2,7,15,0,0,17785.58,17026.83,28358.431,37886.41,19040.521571428573,19738.690214285714,23426.04783333333,10939.82203471263,9173.268810409543,1.3878631453121009
2010-02-16,31144.43,16711,61,51,16.583828541001065,2010,1,2,7,16,1,0,42469.531,17407.0,18600.35,40786.98,21003.01157142857,20634.69592857143,23104.6295,11796.573474455226,8700.751304456366,-0.266664140934356
2010-02-17,26512.72,25014,49,42,26.51272,2010,1,2,7,17,2,0,31144.43,19618.82,20157.801,22470.18,21987.854428571427,21088.618714285716,23239.380833333336,11948.545008479232,8721.864996763064,-0.14871712213066668
2010-02-18,35750.14,19853,63,58,27.20710806697108,2010,1,2,7,18,3,0,26512.72,9542.04,21513.02,31550.9,25731.868714285716,22105.55585714286,23379.3555,11496.268042830314,8891.892662420612,0.3484146477615273
2010-02-19,27225.01,12611,58,30,16.847159653465347,2010,1,2,7,19,4,0,35750.14,15080.27,21414.701,13507.9,27466.83157142857,22520.57792857143,23836.592500000002,10493.548147908816,8717.755075429439,-0.23846424097919616
2010-02-21,11394.731,5555,37,34,12.563099228224916,2010,1,2,7,21,6,1,27225.01,11380.41,22500.71,17393.2,27468.877428571428,21727.293714285715,23636.643533333336,10489.889933491162,8936.676802886212,-0.581460906717757
2010-02-22,26353.58,13427,48,41,23.806305329719965,2010,1,2,8,22,0,0,11394.731,17785.58,21844.6,21397.71,28692.87742857143,22049.363714285715,23801.8392,9636.8835917406,8939.66713923022,1.3127864975487356
2010-02-23,22651.17,11873,47,42,19.904367311072058,2010,1,2,8,23,1,0,26353.58,42469.531,17026.83,33233.881,25861.682999999997,22451.10228571429,23449.08216666667,7613.732811431784,8761.670659460431,-0.14048983098311518
2010-02-24,33065.091,22454,63,47,25.20205106707317,2010,1,2,8,24,2,0,22651.17,31144.43,17407.0,19018.04,26136.06314285714,23569.537357142857,23917.317199999998,7866.259632677322,8891.094885076149,0.4597520128099344
2010-02-25,46615.67,26312,67,55,31.18105016722408,2010,1,2,8,25,3,0,33065.091,26512.72,19618.82,27359.23,29007.91314285714,25497.883785714286,24559.198533333332,11051.455509944775,9797.085397225599,0.40981526408017444
2010-02-26,16682.951,7419,36,26,17.05823210633947,2010,1,2,8,26,4,0,46615.67,35750.14,9542.04,36786.17,26284.029,26007.948857142856,23889.091233333333,11455.117258191174,9617.815215901668,-0.6421171035405047
2010-02-28,16741.49,8419,53,50,13.425412991178831,2010,1,2,8,28,6,1,16682.951,27225.01,15080.27,15930.84,24786.383285714284,26126.60742857143,23916.1129,11984.658769436499,9595.798742828989,0.003508911582848828
2010-03-01,25782.41,21448,58,49,22.017429547395388,2010,1,3,9,1,0,0,16741.49,11394.731,11380.41,22994.15,26841.766,27155.321714285714,24009.0549,10439.315163344365,9600.063136805755,0.5400307857902731
2010-03-02,26384.14,11897,55,48,17.484519549370443,2010,1,3,9,2,1,0,25782.41,26353.58,17785.58,47166.99,26846.13171428571,27769.504571428573,23316.293233333334,10439.083365305922,8565.42501315084,0.023338780199368525
2010-03-03,34058.37,20381,63,53,20.01079318448884,2010,1,3,9,3,2,0,26384.14,22651.17,42469.531,28668.3,28475.731714285714,27168.707357142855,23495.962233333335,10564.691770487523,8736.385412832606,0.2908652698173979
2010-03-04,32298.39,18546,74,67,17.19829073482428,2010,1,3,9,4,3,0,34058.37,33065.091,31144.43,19816.87,28366.203000000005,27251.133071428572,23912.012899999998,10513.029972163413,8851.577966812147,-0.051675403138788045
2010-03-05,27536.73,18260,81,55,22.04702161729384,2010,1,3,9,5,4,0,32298.39,46615.67,26512.72,28358.431,25640.640142857144,27324.276642857145,23884.622866666665,6816.486443782463,8838.606490827648,-0.14742716277808277
2010-03-07,19805.55,10927,58,46,11.468181818181815,2010,1,3,9,7,6,1,27536.73,16682.951,35750.14,18600.35,26086.725714285716,26185.377357142857,23924.796199999997,6207.549979199671,8816.471369979097,-0.2807588264837546
2010-03-08,37254.31,15620,76,66,19.342840083073728,2010,1,3,10,8,0,0,19805.55,16741.49,27225.01,20157.801,29017.128571428573,26901.755928571427,24494.679833333335,5894.527721433458,9112.169808129662,0.8810035570837467
2010-03-09,21999.6,12353,57,51,19.08031222896791,2010,1,3,10,9,1,0,37254.31,25782.41,11394.731,21513.02,28476.727142857144,27659.24657142857,24510.899166666666,6392.845081794469,9107.111196019567,-0.40947503792178674
2010-03-10,27453.03,18013,61,47,17.654681672025724,2010,1,3,10,10,2,0,21999.6,26384.14,26353.58,21414.701,28629.425714285713,27737.778714285716,24712.1768,6347.133557136519,9103.048117670402,0.24788768886707024
2010-03-11,24495.36,14179,48,39,19.272509834775768,2010,1,3,10,11,3,0,27453.03,34058.37,22651.17,22500.71,27263.28142857143,27869.506571428567,24778.665133333336,6003.738254339059,9093.618203897138,-0.10773564885187525
2010-03-12,21689.34,11029,36,30,23.992632743362837,2010,1,3,10,12,4,0,24495.36,32298.39,33065.091,21844.6,25747.70285714286,27056.95292857143,24773.4898,5858.140974170653,9095.389618694438,-0.11455312353033398
2010-03-14,8947.9,4927,24,22,13.787211093990754,2010,1,3,10,14,6,1,21689.34,27536.73,46615.67,17026.83,23092.155714285713,24366.397928571427,24504.192133333334,8520.329977617956,9445.524710462087,-0.5874517159120564
2010-03-15,27587.701,15166,57,41,16.81151797684339,2010,1,3,11,15,0,0,8947.9,19805.55,16682.951,17407.0,24203.89157142857,25145.308642857144,24843.54883333333,8527.725288212398,9364.28132316304,2.0831481129650533
2010-03-16,23955.88,12845,45,42,18.744820031298904,2010,1,3,11,16,1,0,27587.701,37254.31,16741.49,19618.82,22304.115857142857,25660.62221428571,24988.1175,6335.306435287098,9314.183359311195,-0.13164638111744065
2010-03-17,30719.54,78859,48,40,24.399952343129467,2010,1,3,11,17,2,0,23955.88,21999.6,25782.41,9542.04,23549.821571428572,26013.27435714286,25694.034166666668,7079.086573429318,8896.308187038705,0.28233819838803664
2010-03-18,41086.47,23659,86,70,26.456194462330973,2010,1,3,11,18,3,0,30719.54,27453.03,26384.14,15080.27,25497.455857142857,27063.440785714283,26560.907499999998,9716.196505310609,9091.329122548997,0.3374702225358843
2010-03-19,45641.61,13368,62,47,33.95953125,2010,1,3,11,19,4,0,41086.47,24495.36,34058.37,11380.41,28518.348714285712,27890.81507142857,27702.947500000002,12297.21541395171,9268.808899259404,0.11086715407772929
2010-03-21,20522.53,12281,56,51,15.488701886792452,2010,1,3,11,21,6,1,45641.61,21689.34,32298.39,17785.58,28351.66157142857,27049.682214285713,27794.179166666665,12412.576325979253,9180.880159806042,-0.5503548187717304
2010-03-22,25441.66,12821,56,49,17.473667582417583,2010,1,3,12,22,0,0,20522.53,8947.9,27536.73,42469.531,30707.913,26900.034357142857,27226.583466666667,9287.366030903826,8758.97904495831,0.23969413127913564
2010-03-23,56400.48,54452,71,58,44.27039246467818,2010,1,3,12,23,1,0,25441.66,27587.701,19805.55,31144.43,34824.02428571428,29513.95792857143,28068.4518,13224.388316426153,10237.48378323729,1.216855346703006
2010-03-24,30118.4,14409,73,59,20.60082079343365,2010,1,3,12,24,2,0,56400.48,23955.88,37254.31,26512.72,35704.38428571429,29004.25007142857,28188.64113333333,12569.19370032522,10239.75480253158,-0.4659903603657274
2010-03-25,38826.8,17094,85,67,21.32169137836354,2010,1,3,12,25,3,0,30118.4,30719.54,21999.6,35750.14,36862.56428571428,30206.19292857143,28291.196466666664,12405.770986460102,10333.079464103876,0.2891388652783682
2010-03-26,32523.46,20924,62,48,24.07361954108068,2010,1,3,12,26,4,0,38826.8,41086.47,27453.03,27225.01,35639.27714285714,30568.3665,28467.811466666662,12341.868774574772,10359.474957438726,-0.16234508123255076
2010-03-28,22402.0,14517,59,56,12.508096035734226,2010,1,3,12,28,6,1,32523.46,45641.61,24495.36,11394.731,32319.33285714286,30418.840785714285,28834.72043333333,12328.52371699428,9919.517936794873,-0.31120489640401117
2010-03-29,59864.07,25151,85,41,30.810123520329388,2010,1,3,13,29,0,0,22402.0,20522.53,21689.34,26353.58,37939.55285714286,33145.607214285716,29951.736766666665,14778.333571611647,11405.89829092664,1.6722645299526828
2010-03-30,38506.0,19258,70,54,21.356627842484748,2010,1,3,13,30,1,0,59864.07,25441.66,8947.9,22651.17,39805.887142857144,35256.90007142857,30480.231099999997,13724.28486150094,11423.265605025157,-0.356776109609654
2010-03-31,29613.53,13642,75,59,16.041998916576382,2010,1,3,13,31,2,0,38506.0,56400.48,27587.701,33065.091,35979.18,35401.60214285715,30365.17906666667,11945.24862927097,11413.711470448015,-0.2309372565314497
2010-04-01,30768.0,17291,79,72,18.446043165467625,2010,2,4,13,1,3,0,29613.53,30118.4,23955.88,46615.67,36071.979999999996,35888.18214285715,29836.923400000003,11894.544693504104,10994.706663753339,0.038984545239963087
2010-04-06,19394.87,13022,55,46,18.245409219190968,2010,2,4,14,6,1,0,30768.0,38826.8,30719.54,16682.951,33295.99,35079.27714285714,29927.3207,13325.885099769794,10893.509619684419,-0.3696415106604265
2010-04-07,34542.31,23528,61,46,25.39875735294117,2010,2,4,14,7,2,0,19394.87,32523.46,41086.47,16741.49,33584.39714285714,34611.83714285715,30520.681366666668,13328.225327819293,10632.18550822534,0.7810023990880062
2010-04-08,47554.84,26803,86,70,24.005471983846544,2010,2,4,14,8,3,0,34542.31,22402.0,45641.61,25782.41,37177.659999999996,34748.49642857142,31246.42903333333,13200.985091873508,11033.128399771394,0.37671279077745523
2010-04-09,16949.62,9120,51,33,18.72886187845304,2010,2,4,14,9,4,0,47554.84,59864.07,20522.53,26384.14,31047.024285714288,34493.28857142857,30931.94503333333,10622.33172848418,11307.546510602415,-0.643577394014994
2010-04-11,19732.05,11585,42,40,18.372486033519557,2010,2,4,14,11,6,1,16949.62,38506.0,25441.66,34058.37,28365.03142857143,34085.45928571429,30454.40103333333,10793.858691245716,11472.274377100879,0.16415884249912382
2010-04-12,27122.851,12839,46,37,29.25873894282632,2010,2,4,15,12,0,0,19732.05,29613.53,56400.48,32298.39,28009.220142857142,31994.20007142857,30281.883066666665,10786.893007383693,11482.498465013083,0.37455819339602314
2010-04-13,25966.67,14446,52,43,21.17999184339315,2010,2,4,15,13,1,0,27122.851,30768.0,30118.4,27536.73,27323.315857142858,31697.647928571427,30229.54773333333,10734.758625436027,11499.008034893262,-0.0426275615347369
2010-04-14,27064.35,16329,45,39,25.29378504672897,2010,2,4,15,14,2,0,25966.67,19394.87,38826.8,19805.55,28418.955857142857,30857.472928571427,30471.507733333336,10167.055268665219,11347.475484864182,0.04227265182636053
2010-04-15,29559.63,10769,74,57,26.13583554376658,2010,2,4,15,15,3,0,27064.35,34542.31,32523.46,37254.31,27707.144428571428,30645.77078571429,30215.0184,9835.929205291026,11275.610401057507,0.09219803911788027
2010-04-16,19508.45,14865,42,37,23.114277251184834,2010,2,4,15,16,4,0,29559.63,47554.84,22402.0,21999.6,23700.517285714282,30439.088642857143,30131.980066666667,4854.365104261096,11347.14448972377,-0.34003064314404474
2010-04-18,23934.46,12961,54,43,16.76082633053221,2010,2,4,15,18,6,1,19508.45,16949.62,59864.07,27453.03,24698.351571428568,27872.687928571428,30014.694399999997,3849.232945057181,11393.877299761009,0.22687655861946987
2010-04-19,45228.87,19363,74,44,14.608808139534885,2010,2,4,16,19,0,0,23934.46,19732.05,38506.0,24495.36,28340.754428571432,28352.89292857143,30705.8114,8091.846835172653,11672.94479211948,0.8896966967293185
2010-04-20,29083.36,13464,68,53,19.41479305740988,2010,2,4,16,20,1,0,45228.87,27122.851,29613.53,21689.34,28620.827142857142,28315.023642857144,30952.278733333333,8076.5813768341095,11553.451150499759,-0.3569735436680156
2010-04-21,29380.61,13264,66,51,22.740410216718267,2010,2,4,16,21,2,0,29083.36,25966.67,30768.0,8947.9,29108.532857142854,28215.924357142856,31633.36906666667,7992.232919367627,10788.47678524143,0.010220621001149732
2010-04-22,43480.08,21576,79,67,30.90268656716418,2010,2,4,16,22,3,0,29380.61,27064.35,19394.87,27587.701,31453.637142857147,29936.296499999997,32163.11503333333,9549.178037701655,10971.599567757736,0.4798903086082964
2010-04-23,16582.71,10212,57,43,14.832477638640428,2010,2,4,16,23,4,0,43480.08,29559.63,34542.31,23955.88,29599.79142857143,28653.467928571426,31917.342699999997,11110.211599235216,11241.060982102104,-0.6186136272058378
2010-04-25,16574.53,8380,46,44,12.868423913043475,2010,2,4,16,25,6,1,16582.71,19508.45,47554.84,30719.54,29180.66,26440.588642857147,31445.842366666664,11598.94661921503,11584.442452920779,-0.0004932848732204231
2010-04-26,36086.35,19555,99,66,18.883490319204604,2010,2,4,17,26,0,0,16574.53,23934.46,16949.62,41086.47,30916.644285714287,27807.49792857143,31279.1717,11592.266286241374,11476.421312326422,1.1772170915253706
2010-04-27,46110.74,23403,79,63,28.27145309625996,2010,2,4,17,27,1,0,36086.35,45228.87,19732.05,45641.61,31042.625714285714,29691.69007142857,31294.809366666665,11777.050184876307,11496.967495553019,0.2777889700676295
2010-04-28,32452.69,19380,73,62,18.502103762827826,2010,2,4,17,28,2,0,46110.74,29083.36,27122.851,20522.53,31523.95857142857,30072.39285714286,31692.481366666667,11752.455461574009,11316.423799124415,-0.2962010585820136
2010-04-29,32709.821,17039,84,71,16.363092046023013,2010,2,4,17,29,3,0,32452.69,29380.61,25966.67,25441.66,31999.56014285714,30554.0465,31934.7534,11718.576455606142,11255.624372558425,0.007923256901045894
2010-04-30,29087.39,17511,50,36,24.50496208930076,2010,2,4,17,30,4,0,32709.821,43480.08,27064.35,56400.48,29943.461571428572,30698.549357142856,31024.317066666667,10575.410270039978,10269.89606639467,-0.1107444458347846
2010-05-02,12342.17,6296,40,39,14.852190132370636,2010,2,5,17,2,6,1,29087.39,16582.71,29559.63,30118.4,29337.670142857143,29468.730785714284,30431.776066666665,11545.292792032165,10821.946060269931,-0.5756865775856823
2010-05-04,22701.79,11192,52,43,16.4030274566474,2010,2,5,18,4,1,0,12342.17,16574.53,19508.45,38826.8,30212.993,29696.8265,29894.275733333332,10610.81635374172,10791.008451979316,0.8393677935079489
2010-05-05,28100.92,15625,82,57,18.69655355954757,2010,2,5,18,5,2,0,22701.79,36086.35,23934.46,32523.46,29072.217285714287,29994.43078571429,29746.857733333334,10298.798372081632,10784.058464147603,0.23782838269581363
2010-05-06,54582.2,31089,84,68,26.75598039215686,2010,2,5,18,6,3,0,28100.92,46110.74,45228.87,22402.0,30282.425857142858,30662.52578571429,30819.531066666666,12823.073056968826,11598.023077327915,0.9423634528691587
2010-05-07,35744.13,23171,66,48,27.05838758516275,2010,2,5,18,7,4,0,54582.2,32452.69,29083.36,59864.07,30752.63157142857,31138.295071428573,30015.533066666667,12975.359516819191,10275.823801271983,-0.3451321126667668
2010-05-09,22852.06,11825,62,52,13.513932584269664,2010,2,5,18,9,6,1,35744.13,32709.821,29380.61,38506.0,29344.38,30671.97007142857,29493.735066666664,13259.373796307264,10227.14982390189,-0.3606765642358618
2010-05-10,32905.93,15713,77,65,21.053058221369163,2010,2,5,19,10,0,0,22852.06,29087.39,43480.08,29613.53,29889.885714285712,29916.673642857142,29603.48173333333,13325.42382048547,10246.127284554103,0.4399546474147187
2010-05-11,28722.09,18150,65,59,17.396783767413687,2010,2,5,19,11,1,0,32905.93,12342.17,16582.71,30768.0,32229.874285714286,30783.772214285713,29535.28473333333,10958.361453044048,10244.917712729153,-0.1271454719559666
2010-05-12,31357.44,21669,65,51,25.493853658536583,2010,2,5,19,12,2,0,28722.09,22701.79,16574.53,19394.87,33466.39571428571,31839.694357142853,29934.037066666664,10163.562114545684,10067.897026292461,0.09175342045094892
2010-05-13,41041.6,26817,66,58,31.068584405753217,2010,2,5,19,13,3,0,31357.44,28100.92,36086.35,34542.31,35315.06428571428,32193.640785714284,30150.680066666668,10201.799931533082,10238.951513259057,0.30883133317005473
2010-05-14,18873.96,14348,49,36,23.740830188679244,2010,2,5,19,14,4,0,41041.6,54582.2,46110.74,47554.84,30213.88714285714,30248.1565,29194.650733333332,7543.138878693459,9890.935565606364,-0.540126115940899
2010-05-16,18370.09,11028,44,38,12.52221540558964,2010,2,5,19,16,6,1,18873.96,35744.13,32452.69,16949.62,27731.881428571425,29242.2565,29241.999733333338,8245.838778857727,9833.529313635347,-0.02669657030109207
2010-05-17,25513.64,13811,49,42,18.88500370096225,2010,2,5,20,17,0,0,18370.09,22852.06,32709.821,19732.05,28112.10714285714,28728.24357142857,29434.719399999998,8042.170931051936,9696.423016930727,0.3888685357556767
2010-05-18,28911.53,22477,64,51,19.88413342503439,2010,2,5,20,18,1,0,25513.64,32905.93,29087.39,27122.851,27541.47857142857,28715.682142857142,29494.34203333333,7782.866869591215,9687.212164839544,0.13317935033966144
2010-05-19,17696.18,9644,61,56,15.308114186851212,2010,2,5,20,19,2,0,28911.53,28722.09,12342.17,25966.67,25966.34857142857,29098.11142857143,29218.659033333337,8579.11144637255,9906.271838078306,-0.38791962929668544
2010-05-20,25679.04,15590,67,57,16.345665181413114,2010,2,5,20,20,3,0,17696.18,31357.44,22701.79,27064.35,25155.148571428574,29310.772142857142,29172.48203333333,8246.40609194578,9919.87958109156,0.4511063969738103
2010-05-21,27275.22,10076,52,39,21.493475177304965,2010,2,5,20,21,4,0,25679.04,41041.6,28100.92,29559.63,23188.522857142856,29251.79357142857,29096.335033333333,4709.2343250423055,9925.571441734213,0.0621588657519907
2010-05-23,25127.13,13889,49,41,19.53898133748056,2010,2,5,20,23,6,1,27275.22,18873.96,54582.2,19508.45,24081.83285714286,27147.860000000004,29283.624366666667,4332.398359691393,9790.507040613782,-0.07875610169230529
2010-05-24,35787.18,32771,71,61,25.727663551401868,2010,2,5,21,24,0,0,25127.13,18370.09,35744.13,23934.46,26569.988571428574,27150.935,29678.715033333334,5380.098613428368,9806.343113734873,0.42424463120141453
2010-05-25,22364.37,15014,61,52,16.517259970457904,2010,2,5,21,25,1,0,35787.18,25513.64,22852.06,45228.87,26120.092857142856,27116.100000000002,28916.565033333332,5609.92095501562,9437.695396961213,-0.37507314071687126
2010-05-26,38397.29,18921,96,64,21.33182777777778,2010,2,5,21,26,2,0,22364.37,28911.53,32905.93,29083.36,27475.201428571425,27508.339999999997,29227.02936666667,7290.524585705786,9595.252813390323,0.7168956693168644
2010-05-27,30802.74,17905,88,77,15.502133870156015,2010,2,5,21,27,3,0,38397.29,17696.18,28722.09,29380.61,29347.567142857144,27656.957857142854,29274.433699999998,5913.451779295807,9599.54970549153,-0.19778869810864252
2010-05-28,21823.33,12627,58,43,18.38528222409436,2010,2,5,21,28,4,0,30802.74,25679.04,31357.44,43480.08,28796.751428571424,26975.95,28552.54203333333,6465.8814712649355,9304.196335605295,-0.29151335238358667
2010-05-30,10733.47,6220,32,30,13.760858974358973,2010,2,5,21,30,6,1,21823.33,27275.22,41041.6,16582.71,26433.644285714283,24811.083571428575,28357.56736666667,9449.187704964988,9619.620771249329,-0.5081653441523362
2010-06-01,15634.28,8287,47,33,13.116006711409396,2010,2,6,22,1,1,0,10733.47,25127.13,18873.96,16574.53,25077.522857142856,24579.677857142855,28326.2257,10309.936322108077,9660.778530285135,0.4565913912276274
2010-06-02,16172.54,11808,46,38,17.241513859275056,2010,2,6,22,2,2,0,15634.28,35787.18,18370.09,36086.35,22275.431428571428,24422.71,27662.432033333334,9551.689822098526,9792.43638189622,0.03442819240796502
2010-06-03,29509.13,17585,67,52,18.305911910669977,2010,2,6,22,3,3,0,16172.54,22364.37,25513.64,46110.74,23296.11142857143,24708.102142857148,27109.045033333336,9936.755356264299,9162.79134156952,0.8246441189819287
2010-06-04,21251.2,8167,51,29,15.523155588020453,2010,2,6,22,4,4,0,29509.13,38397.29,28911.53,32452.69,20846.670000000002,24160.93571428571,26735.66203333333,7377.582794994552,9165.758938927205,-0.2798432214030031
2010-06-06,25457.15,14079,68,62,11.824036228518349,2010,2,6,22,6,6,1,21251.2,30802.74,17696.18,32709.821,20083.014285714286,24715.290714285715,26493.906333333332,6385.183017708122,9098.149895246976,0.19791588239722935
2010-06-07,49454.92,29457,103,81,19.371296513905207,2010,2,6,23,7,0,0,25457.15,21823.33,25679.04,29087.39,24030.384285714284,26413.567857142858,27172.824,12879.126588547386,10012.350526850738,0.942673080058058
2010-06-08,54216.99,25848,81,61,27.013946188340807,2010,2,6,23,8,1,0,49454.92,10733.47,27275.22,12342.17,30242.315714285713,28337.98,28568.651333333335,15596.676999808695,10764.17482036297,0.09629112735396195
2010-06-09,38298.77,25410,68,59,27.49373295046661,2010,2,6,23,9,2,0,54216.99,15634.28,25127.13,22701.79,33480.1,29278.81142857143,29088.550666666666,14362.375727808161,10847.377905306776,-0.2936020609037868
2010-06-10,18308.72,9683,66,56,18.43778449144008,2010,2,6,23,10,3,0,38298.77,16172.54,35787.18,28100.92,33785.26857142857,28030.350000000002,28762.143999999997,13950.115066623905,11024.010958377708,-0.521950182734328
2010-06-11,37676.65,21405,86,65,22.13669212690952,2010,2,6,23,11,4,0,18308.72,29509.13,22364.37,54582.2,34952.05714285714,29124.084285714285,28198.625666666667,13874.208575506453,10047.47737893025,1.05785276087023
2010-06-13,21430.49,11120,70,61,15.091894366197184,2010,2,6,23,13,6,1,37676.65,21251.2,38397.29,35744.13,34977.67,27912.170000000002,27721.504333333334,13844.834662553143,10016.617108205981,-0.4311996953019974
