StockCode,Description,Revenue,Quantity,Orders,Customers,Avg_Price
15058B,PINK WHITE SPOTS GARDEN PARASOL,3327.67,438,156,65,9.684999999999999
15058C,ICE CREAM DESIGN GARDEN PARASOL,2753.72,470,122,56,9.667049180327869
15059A,ENGLISH ROSE EDWARDIAN PARASOL,1567.0,509,4,1,10.5
15060B,FAIRY CAKE DESIGN UMBRELLA,6444.9800000000005,1414,449,174,5.541804008908686
15060b,FAIRY CAKE DESIGN UMBRELLA,41.81,5,5,0,8.362
16008,SMALL FOLDING SCISSOR(POINTED EDGE),422.96,3141,85,64,0.15623529411764706
16010,FOLDING CAMPING SCISSOR W/KNIF & S,3.84,32,4,4,0.12
16011,ANIMAL STICKERS,799.3199999999999,3812,112,83,0.20955357142857142
16012,FOOD/DRINK SPUNGE STICKERS,608.01,2901,83,67,0.2094047619047619
16014,SMALL CHINESE STYLE SCISSOR,9513.1,29355,93,46,0.39526881720430107
16015,MEDIUM CHINESE STYLE SCISSOR,711.38,1572,65,40,0.4870769230769231
16016,LARGE CHINESE STYLE SCISSOR,1870.7,2314,106,57,0.8401886792452831
16020C,CLEAR STATIONERY BOX SET,134.5,160,39,22,0.843
16033,MINI HIGHLIGHTER PENS,1544.52,15121,50,43,0.11639999999999999
16043,POP ART PUSH DOWN RUBBER,180.3,2145,13,11,0.31846153846153846
16044,POP-ART FLUORESCENT PENS,389.22,6193,3,2,0.3
16045,POPART WOODEN PENCILS ASST,429.44,9312,74,65,0.049600000000000005
16046,TEATIME PEN CASE & PENS,1223.5,10056,59,44,0.9443548387096774
16047,POP ART PEN CASE & PENS,1054.7,10612,31,21,0.9583870967741934
16048,TEATIME ROUND PENCIL SHARPENER,537.06,3461,105,59,0.40254716981132077
16049,TEATIME GEL PENS ASST,560.48,3169,32,22,0.381875
16050,TEATIME PENCIL WITH RUBBER,46.45,151,8,4,0.4
16051,TEATIME PENCIL W STAMP ASST,84.69,941,4,3,0.4325
16052,TEATIME PUSH DOWN RUBBER,281.32,848,35,18,0.5685714285714285
16053,POPART COL BALLPOINT PEN ASST,185.73,4313,10,8,0.174
16054,POPART RECT PENCIL SHARPENER ASST,159.0,1210,39,32,0.17384615384615382
16119,FUNKY GIRL ADDRESS BOOK,130.71,273,8,7,1.0325
16151A,FLOWER DES BLUE HANDBAG/ORANG HANDL,72.5,52,5,5,2.25
16156L,"WRAP, CAROUSEL",399.0,950,36,33,0.42
16156N,"WRAP, FRIENDSHIP ON GREEN",619.5,1475,56,51,0.42
16156S,WRAP PINK FAIRY CAKES,6558.62,16661,419,271,0.41532219570405726
16161C,WRAP SPEED DEMONS,45.0,450,2,2,0.1
16161E,WRAP BOUDOIR,75.0,750,9,8,0.1
16161G,WRAP BAD HAIR DAY,97.5,975,33,31,0.1
16161M,WRAP  PINK FLOCK,439.0,1050,39,36,0.41794871794871796
16161P,WRAP ENGLISH ROSE,5435.4,13198,440,289,0.41895454545454547
16161U,"WRAP,SUKI AND FRIENDS",4084.92,10026,318,203,0.4180503144654088
16162L,THE KING GIFT BAG,570.43,8101,30,16,0.7496666666666667
16162M,THE KING GIFT BAG 25x24x12cm,36.96,88,13,10,0.42
16168M,FUNKY MONKEY GIFT BAG MEDIUM,512.38,1686,101,42,0.5918811881188119
16168S,FUNKY MONKEY GIFT BAG SMALL,126.83,1283,11,4,0.31363636363636366
16169A,WRAP CHRISTMAS DECOUPAGE,10.5,25,1,1,0.42
16169C,WRAP BLUE REINDEER,567.0,1350,43,42,0.42
16169D,WRAP WINTER FOREST,105.0,250,9,9,0.42
16169E,WRAP 50'S  CHRISTMAS,1892.46,4563,149,143,0.41919999999999996
16169F,WRAP BLIZZARD,409.5,975,34,34,0.42
16169G,WRAP ROMANTIC DECOUPAGE,10.5,25,1,1,0.42
16169K,WRAP FOLK ART,658.75,2075,60,56,0.3625
16169M,WRAP DAISY CARPET,640.95,2060,59,56,0.35483333333333333
16169N,WRAP BLUE RUSSIAN FOLKART,626.25,2025,56,52,0.3501785714285714
16169P,WRAP GREEN RUSSIAN FOLKART,533.75,1750,48,46,0.3577083333333333
16192,PINK BALLET OPENING CUBE BOX,12.9,3,1,0,4.3
16201A,PASTEL PINK PHOTO ALBUM,213.37,101,9,7,3.7744444444444443
16201B,PASTEL BLUE PHOTO ALBUM,81.1,34,5,2,2.838
16202A,PASTEL PINK PHOTO ALBUM,290.45,662,21,16,4.4852380952380955
16202B,PASTEL BLUE PHOTO ALBUM,528.56,1039,22,13,4.7690909090909095
16202C,BEIGE PHOTO ALBUM,230.59,97,12,10,3.9766666666666666
16202E,BLACK PHOTO ALBUM,162.73,82,14,12,3.395
16206B,RED PURSE WITH PINK HEART,116.4,96,16,14,1.23125
16207A,PINK STRAWBERRY HANDBAG,423.53000000000003,143,76,17,3.001578947368421
16207B,PINK HEART RED HANDBAG,457.65000000000003,265,46,12,2.654782608695652
16212,FUNKY GIRLZ ASST MAGNETIC MEMO PAD,287.01,366,37,29,1.6778048780487806
16215,FUNKY GIRLZ MAGNETIC TO DO LIST,5.2,8,3,3,0.65
16216,LETTER SHAPE PENCIL SHARPENER,371.64,4158,88,69,0.21955056179775279
16218,CARTOON  PENCIL SHARPENERS,448.13,4629,98,60,0.4536734693877551
16219,HOUSE SHAPE PENCIL SHARPENER,499.55,3357,128,58,0.555703125
16225,RATTLE SNAKE EGGS,1271.66,1520,165,90,1.5598192771084338
16235,RECYCLED PENCIL WITH RABBIT ERASER,1333.95,5827,310,124,0.3089808917197452
16236,KITTY PENCIL ERASERS,593.29,2652,260,108,0.30335849056603775
16237,SLEEPING CAT ERASERS,2233.15,10385,580,209,0.2964957264957265
16238,PARTY TIME PENCIL ERASERS,559.54,2447,236,104,0.30966244725738395
16239,BALLERINA HEART DECORATION.,492.17,347,21,13,2.6557142857142857
16243B,BROWN COZY SQUARE PHOTO ALBUM,441.77,212,8,1,5.49625
16244A,MAXWELL 2 TONE PINK 60 PAGE PHOTO A,479.40999999999997,186,28,6,4.073571428571428
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,765.02,345,28,8,3.872068965517241
16245A,PINK MINI STATIONERY SET W CASE,13.75,11,7,7,1.25
16248B,BLUE HOLE PUNCH,101.25,81,12,12,1.25
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,305.66,941,40,17,1.2665853658536586
16256B,FLOWER PENCIL/RUBBER+5 MINI PENCILS,232.35,524,35,17,0.5841666666666667
16256C,HEARTS PENCIL/RUBBER+5 MINI PENCILS,70.98,169,10,8,0.42000000000000004
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,375.93,1063,101,58,0.5233009708737864
16258B,DAISY ERASERS IN BAG,221.06,1016,15,13,0.36
16259,PIECE OF CAMO STATIONERY SET,766.09,5473,55,46,0.14618181818181816
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,299.34999999999997,1211,23,20,0.27956521739130435
17003,BROCADE RING PURSE,14766.42,70369,456,215,0.3027272727272727
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,71.4,34,6,6,2.1
17011A,ORIGAMI VANILLA INCENSE+FLOWER,179.56,261,12,6,2.7708333333333335
17011B,ORIGAMI JASMINE INCENSE+FLOWER,11.100000000000001,19,2,2,1.2
17011C,ORIGAMI LAVENDER INCENSE+FLOWER,221.4,335,2,1,2.475
17011D,ORIGAMI ROSE INCENSE+FLOWER,135.7,209,4,2,1.8375
17011E,ORIGAMI OPIUM SCENT INCENSE+FLOWER,80.60000000000001,124,1,1,0.65
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,336.2,385,20,15,2.12
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET,806.16,726,95,30,2.225520833333333
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,867.4499999999999,721,126,43,2.1927777777777773
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET,950.4,856,113,47,2.016725663716814
17012D,ORIGAMI ROSE INCENSE/CANDLE SET,658.72,520,116,41,1.9451724137931032
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET,296.78999999999996,263,29,12,2.488965517241379
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,680.65,586,107,38,1.8778504672897196
17013B,ORIGAMI JASMINE INCENSE IN TUBE,221.03,256,3,2,1.7066666666666668
17013C,ORIGAMI LAVENDER INCENSE IN TUBE,89.46000000000001,213,2,2,0.42
17013D,ORIGAMI ROSE INCENSE IN TUBE,572.4,1068,31,17,1.7083870967741936
17013F,ORIGAMI SANDLEWOOD INCENSE IN TUBE,26.7,62,5,4,1.38
17014A,ORIGAMI VANILLA INCENSE CONES,170.13,276,16,9,1.66
17014C,ORIGAMI LAVENDER INCENSE CONES,43.75,97,2,1,1.925
17014D,ORIGAMI ROSE INCENSE CONES,204.36,479,8,5,1.7966666666666664
17014E,ORIGAMI OPIUM INCENSE CONES,36.599999999999994,95,6,4,1.4249999999999998
17014F,ORIGAMI SANDLEWOOD INCENSE CONES,23.699999999999996,61,4,4,1.3125
17021,NAMASTE SWAGAT INCENSE,984.24,3720,76,45,0.2949397590361446
17027A,INCENSE BAZAAR CANNABIS,84.84,228,2,1,0.355
17028J,INCENSE BAZAAR PEACH,2.52,6,1,1,0.42
17033,"BROCADE PURSE,SMALL ARCH BUTTON",867.8399999999999,3280,69,58,0.28536231884057967
17038,PORCELAIN BUDAH INCENSE HOLDER,254.51000000000002,2559,55,21,0.4290909090909091
17039,INLAID WOOD INCENSE HOLDER,837.88,3707,43,20,0.3774418604651163
17061,ASSORTED SHAPED STENCIL FOR HENNA,2.08,52,1,1,0.04
17084A,TRANQUILITY MASALA INCENSE,92.82,442,18,14,0.21
17084G,MOON INCENSE,10.5,50,2,2,0.21
17084J,LOVE POTION MASALA INCENSE,95.76,456,20,17,0.21000000000000002
17084N,FAIRY DREAMS INCENSE,640.26,2768,187,42,0.34598930481283424
17084P,DRAGONS BLOOD INCENSE,222.75,990,70,23,0.34428571428571425
17084R,ASSORTED INCENSE PACK,1968.45,10625,66,29,0.20318181818181819
17090A,LAVENDER INCENSE 40 CONES IN TIN,182.65,173,26,24,1.2038461538461538
17090D,VANILLA INCENSE 40 CONES IN TIN,105.2,88,28,21,1.2366666666666668
17091A,LAVENDER INCENSE IN TIN,1285.8899999999999,2085,117,78,1.029059829059829
17091B,JASMINE TEA INCENSE IN TIN,316.98,276,51,35,1.4219230769230768
17091F,SANDALWOOD INCENSE IN TIN,27.71,19,8,6,1.58
17091J,VANILLA INCENSE IN TIN,2204.35,3964,178,108,0.8962295081967213
17096,ASSORTED LAQUERED INCENSE HOLDERS,1117.0900000000001,6240,76,25,0.3223684210526316
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",803.25,315,86,68,2.55
17108D,FLOWER FAIRY SUMMER BOUQUET SACHET,149.1,355,23,17,0.42
17109A,FLOWER FAIRY INCENSE LILY,333.61,709,13,12,1.1861538461538461
17109B,FLOWER FAIRY INCENSE LAVENDER,896.3399999999999,4542,17,13,1.316470588235294
17109C,FLOWER FAIRY INCENSE ROSE,661.23,3124,15,13,1.238
17109D,FLOWER FAIRY INCENSE BOUQUET,598.3100000000001,1257,38,33,1.406153846153846
17129C,SKY BLUE COLOUR GLASS GEMS IN BAG,57.98,86,11,7,0.8309090909090909
17129D,CLEAR COLOUR GLASS GEMS IN BAG,1351.18,1125,39,12,1.2087179487179487
17129F,DEEP BLUE GLASS GEMS IN BAG,1684.58,1580,145,19,1.4021232876712328
17136A,BLUE STONES ON WIRE FOR CANDLE,61.78,743,34,28,0.10676470588235294
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,646.56,1620,81,64,0.4168292682926829
17164D,ASS COL SMALL SAND FROG P'WEIGHT,447.0,1150,28,26,0.41516129032258065
17165B,ASS COL LARGE SAND GECKO P'WEIGHT,751.68,810,57,43,1.0298360655737704
17165D,ASS COL LARGE SAND FROG P'WEIGHT,682.32,716,89,62,1.0346236559139785
17174,ASSTD RASTA KEY-CHAINS,15.120000000000001,36,7,7,0.42
17178,FLAT PALM T-LIGHT HOLDER,156.65,133,24,20,1.234
17181,CIRCLE OF FRIENDS CANDLE HOLDER,642.66,353,65,26,3.771641791044776
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,123.75,33,12,9,3.75
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,1043.22,11396,72,40,0.242972972972973
18010,ASSORTED FRAGRANCE BATH CONFETTI,30.16,64,9,6,0.5566666666666666
18094C,WHITE/BLUE RECT CERAMIC OIL BURNER,600.66,433,98,22,1.8870408163265306
18096C,WHITE ROUND PORCELAIN TLIGHT HOLDER,298.7,117,20,12,3.4455
18096c,WHITE ROUND PORCELAIN TLIGHT HOLDER,41.14,8,6,0,5.151666666666666
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER,43.349999999999994,17,12,10,2.55
18097B,BLUE TALL PORCELAIN T-LIGHT HOLDER,17.849999999999998,7,3,3,2.55
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,3924.92,1763,211,110,2.8269339622641505
18098A,PINK PORCELAIN B'FLY OIL BURNER,5.9,2,2,2,2.95
18098B,BLUE PORCELAIN B'FLY OIL BURNER,8.850000000000001,3,3,3,2.9500000000000006
18098C,PORCELAIN BUTTERFLY OIL BURNER,3231.13,1223,236,104,3.2679012345679013
18098c,PORCELAIN BUTTERFLY OIL BURNER,1479.61,292,135,0,5.067333333333333
20615,BLUE SPOTTY PASSPORT COVER,1077.81,637,195,59,2.625306122448979
20616,CHERRY BLOSSOM PASSPORT COVER,449.26,283,121,31,2.0985123966942147
20617,FIRST CLASS PASSPORT COVER,992.99,498,105,59,2.3980952380952383
20618,QUEEN OF THE SKIES PASSPORT COVER,648.54,297,137,50,2.278905109489051
20619,TROPICAL PASSPORT COVER,1014.42,578,194,46,2.341494845360825
20620,RED SPOTTY PASSPORT COVER,61.76,15,14,1,4.104285714285714
20621,ECONOMY PASSPORT COVER,451.67,207,33,23,2.3584848484848484
20622,VIPPASSPORT COVER,1127.59,582,128,59,2.634453125
20652,BLUE SPOTTY LUGGAGE TAG,1027.29,1516,172,73,1.410635838150289
20653,CHERRY BLOSSOM LUGGAGE TAG,528.77,2004,81,26,1.3807407407407408
20654,FIRST CLASS LUGGAGE TAG,505.41,398,120,65,1.3760330578512396
20655,QUEEN OF SKIES LUGGAGE TAG,608.48,414,189,55,1.70125
20657,TROPICAL LUGGAGE TAG,726.47,1877,118,54,1.3230508474576272
20658,RED SPOTTY LUGGAGE TAG,2251.36,1584,353,153,1.6826256983240224
20659,ECONOMY LUGGAGE TAG,533.51,369,138,55,1.5739285714285713
20660,VIP LUGGAGE TAG,88.75,71,26,22,1.25
20661,BLUE SPOTTY PURSE,980.0600000000001,898,123,37,3.006048387096774
20662,FIRST CLASS HOLIDAY PURSE,471.33000000000004,728,49,23,2.718571428571429
20663,QUEEN OF THE SKIES HOLIDAY PURSE,369.41,1074,44,13,2.5777272727272726
20664,TROPICAL HOLIDAY PURSE,155.41,57,31,11,2.712903225806452
20665,RED SPOTTY PURSE,4256.34,1335,348,167,3.8144985673352436
20666,ECONOMY HOLIDAY PURSE,412.45000000000005,911,46,22,2.408478260869565
20667,CHERRY BLOSSOM PURSE,108.69,40,24,6,2.6437500000000003
20668,DISCO BALL CHRISTMAS DECORATION,2454.88,20951,367,181,0.16567204301075267
20669,RED HEART LUGGAGE TAG,1111.89,797,214,103,1.595590909090909
20670,VIP HOLIDAY PURSE,378.85,694,48,20,2.8625000000000003
20671,BLUE TEATIME PRINT BOWL,1038.72,786,143,70,1.5767832167832168
20672,PINK TEATIME PRINT BOWL,201.0,138,36,21,1.75
20673,STRAWBERRIES PRINT BOWL,6.25,5,2,2,1.25
20674,GREEN SPOTTY BOWL,4348.52,3412,463,196,1.5062017167381974
20675,BLUE SPOTTY BOWL,8067.83,6465,693,281,1.507034383954155
20676,RED SPOTTY BOWL,13105.7,10475,966,372,1.5504423868312758
20677,PINK SPOTTY BOWL,9798.06,7774,760,268,1.5826007802340702
20678,LARGE BLACK DIAMANTE HAIRSLIDE,6.6,4,1,1,1.65
20679,EDWARDIAN PARASOL RED,30020.97,6149,715,271,6.662262569832403
20680,PINK FLOWERS CHILDS UMBRELLA,19.5,6,4,4,3.25
20681,PINK SPOTTY CHILDS UMBRELLA,4757.15,1405,341,184,3.8498250728862975
20682,RED SPOTTY CHILDS UMBRELLA,10171.31,3068,589,296,3.8574704890387856
20683,RAIN GIRL CHILDS UMBRELLA,3.25,1,1,1,3.25
20684,STRAWBERRY DREAM CHILDS UMBRELLA,1910.06,580,176,117,3.5827683615819206
20685,RED SPOTTY COIR DOORMAT,66417.47,9783,1725,626,8.403582175925926
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,2002.84,590,186,117,3.713978494623656
20688,BEAUTY SPEED EXPRESSO CUPS,332.9,464,11,9,6.004545454545454
20689,RETRO SISTERS EXPRESSO CUPS,614.1,429,41,25,6.176585365853659
20692,FLORAL ELEPHANT SOFT TOY,3682.76,908,139,75,4.892127659574468
20693,FLORAL DINOSAUR GREEN,161.89000000000001,33,18,10,5.207777777777778
20694,FLORAL PINK MONSTER,622.33,166,54,23,4.398363636363636
20695,FLORAL BLUE MONSTER,604.58,142,61,24,4.856393442622951
20696,FLORAL SOFT CAR TOY,617.9399999999999,151,60,28,4.625666666666667
20697,LITTLE GREEN MONSTER SOFT TOY,96.6,40,21,17,2.507142857142857
20698,LITTLE PINK MONSTER SOFT TOY,114.44999999999999,47,21,17,2.509090909090909
20699,MOUSEY LONG LEGS SOFT TOY,797.96,294,88,42,3.062134831460674
20700,GREEN CAT FLORAL CUSHION COVER,1125.05,420,103,11,5.4233980582524275
20701,PINK CAT FLORAL CUSHION COVER,721.49,353,50,12,4.416
20702,PINK PADDED MOBILE,3296.7,782,245,151,4.303225806451613
20703,BLUE PADDED SOFT MOBILE,1993.47,471,169,122,4.2601775147928995
20704,MR ROBOT SOFT TOY,1371.42,361,80,60,6.370875
20705,MRS ROBOT SOFT TOY,996.19,273,53,47,5.42622641509434
20707,CRAZY DAISY HEART DECORATION,1243.68,1613,199,48,1.22405
20711,JUMBO BAG TOYS,25719.13,12643,1052,326,2.726691943127962
20712,JUMBO BAG WOODLAND ANIMALS,37499.37,17710,1415,387,2.738984593837535
20713,JUMBO BAG OWLS,40667.05,20814,1314,371,2.5839698113207543
20714,POSY SHOPPER BAG,649.8199999999999,1580,28,10,0.9467857142857142
20715,LITTLE FLOWER SHOPPER BAG,424.0,400,1,1,1.06
20716,PARTY FOOD SHOPPER BAG,1925.04,1533,246,121,1.4443373493975904
20717,STRAWBERRY SHOPPER BAG,7767.48,6296,757,283,1.5932549019607842
20718,RED SPOTTY SHOPPER BAG,17457.35,13353,1213,428,1.655369458128079
20719,WOODLAND CHARLOTTE BAG,27598.42,24479,1573,365,1.1526611883691529
20721,OWLS CHARLOTTE BAG,0.85,1,1,1,0.85
20723,STRAWBERRY CHARLOTTE BAG,20401.05,18296,1379,356,1.1350252343186733
20724,RED SPOTTY CHARLOTTE BAG,35190.21,32197,2035,524,1.1019629810034095
20725,LUNCH BAG RED SPOTTY,71106.29,40317,3056,845,2.0539255663430422
20726,LUNCH BAG WOODLAND,38506.74,22118,1926,585,2.1123128205128205
20727,LUNCH BAG  BLACK SKULL.,45655.27,26678,2351,705,2.023109908409659
20728,LUNCH BAG CARS BLUE,42270.3,24596,2067,702,1.9748732663797226
20729,RED SPOTTY CANDY BAG,1778.12,5262,121,39,1.4020661157024794
20730,STRAWBERRY CANDY BAG,1011.7,2218,102,34,1.0862745098039215
20731,POSY CANDY BAG,1252.92,4142,73,40,1.4024657534246574
20733,GOLD MINI TAPE MEASURE,1452.2,1927,294,67,0.8517627118644067
20734,SILVER MINI TAPE MEASURE,1470.62,1592,117,50,1.3161016949152542
20735,BLACK MINI TAPE MEASURE,1540.29,1515,202,30,1.20519801980198
20736,PINK MINI TAPE MEASURE,233.5,290,19,18,0.8431578947368421
20737,RED MINI TAPE MEASURE,1.7,1,1,0,1.7
20738,GREEN MINI TAPE MEASURE,1301.72,1610,74,46,0.9545945945945946
20739,*USB Office Glitter Lamp,8.65,1,1,0,8.65
20747,PICCADILLY TEA SET,9224.92,683,108,48,15.723703703703702
20748,KENSINGTON COFFEE SET,14266.98,1600,183,86,12.383224043715847
20749,ASSORTED COLOUR MINI CASES,22097.61,3062,766,426,8.091415584415586
20750,RED/WHITE DOT MINI CASES,26866.629999999997,3688,909,471,8.11246170678337
20751,FUNKY WASHING UP GLOVES ASSORTED,6023.26,2839,471,264,2.3205465587044536
20752,RETRO BLUE SPOTTY WASHING UP GLOVES,2868.2000000000003,1500,358,188,2.377765363128492
20753,RETRO PINK SPOT WASHING UP GLOVES,509.0,218,56,30,2.6607142857142856
20754,RETRO RED SPOTTY WASHING UP GLOVES,10444.82,5094,852,363,2.488578088578089
20755,BLUE PAISLEY POCKET BOOK,1089.73,5145,122,74,0.9081147540983606
20756,GREEN FERN POCKET BOOK,851.5600000000001,5728,64,40,0.8060937499999999
20757,RED DAISY POCKET BOOK,890.7,5347,78,49,0.8440506329113923
20758,ABSTRACT CIRCLES POCKET BOOK,953.42,5425,95,61,0.8189690721649484
20759,CHRYSANTHEMUM POCKET BOOK,891.13,5777,63,35,0.7725396825396825
20760,GARDEN PATH POCKET BOOK,1313.66,5550,81,47,0.7926829268292683
20761,BLUE PAISLEY SKETCHBOOK,1422.46,458,146,93,4.008979591836735
20762,GREEN FERN SKETCHBOOK,1343.79,458,136,88,3.836102941176471
20763,DAISY SKETCHBOOK,702.86,267,74,54,3.805945945945946
20764,ABSTRACT CIRCLES SKETCHBOOK,2134.76,685,193,107,4.1788659793814436
20765,CHRYSANTHEMUM SKETCHBOOK,1265.06,442,146,96,3.9039455782312924
20766,GARDEN PATH SKETCHBOOK,1548.47,518,155,100,3.951910828025478
20767,BLUE PAISLEY JOURNAL,1741.6100000000001,812,179,112,2.6804469273743012
20768,GREEN FERN JOURNAL,1534.19,767,149,98,2.557046979865772
20769,DAISY JOURNAL,808.8100000000001,438,79,48,2.561625
20770,ABSTRACT CIRCLE JOURNAL,2190.59,1045,201,94,2.4737623762376235
20771,CHRYSANTHEMUM  JOURNAL,1201.68,606,140,91,2.5679285714285713
20772,GARDEN PATH JOURNAL,1848.73,970,161,105,2.5111111111111106
20773,BLUE PAISLEY NOTEBOOK,963.98,3339,117,78,1.7422499999999999
20774,GREEN FERN NOTEBOOK,962.48,3484,119,68,1.7389999999999999
20775,DAISY NOTEBOOK,926.54,3604,112,43,1.7398230088495574
20776,ABSTRACT CIRCLES NOTEBOOK,832.66,3258,84,50,1.7828235294117647
20777,CHRYSANTHEMUM NOTEBOOK,1262.7,3660,169,78,1.7810588235294116
20778,GARDEN PATH NOTEBOOK,944.36,3611,90,66,1.808021978021978
20780,BLACK EAR MUFF HEADPHONES,1333.96,231,98,35,6.895445544554456
20781,GOLD EAR MUFF HEADPHONES,579.93,103,61,34,6.378196721311475
20782,CAMOUFLAGE EAR MUFF HEADPHONES,995.48,155,87,39,6.8659770114942535
20783,HEART EAR MUFF HEADPHONES,1051.4,165,55,20,7.64509090909091
20784,RED RETRO BAR STOOL,3570.87,101,37,6,36.42621621621622
20785,FUSCHIA RETRO BAR STOOL,3672.35,102,36,14,37.55945945945946
20786,BLACK RETRO BAR STOOL,3533.9,99,31,9,36.876875
20787,BLUE RETRO BAR STOOL,2535.1,69,30,7,38.021875
20791,BLUE TILED SET OF 3 DRAWERS,63.75,5,1,1,12.75
20793,BLUE TILED TRAY,518.5,281,22,13,8.935
20794,BLUE  TILE HOOK,591.02,212,48,27,3.4424489795918363
20795,LARGE BLUE PROVENCAL CERAMIC BALL,308.7,135,29,15,2.956896551724138
20796,SMALL BLUE PROVENCAL CERAMIC BALL,182.16,99,22,11,2.3495454545454546
20798,CLEAR MILKSHAKE GLASS,1308.15,551,83,35,3.106117647058823
20799,PINK MILKSHAKE GLASS,355.33,200,26,11,3.1257692307692304
20800,LARGE GLASS SUNDAE DISH CLEAR,303.96,1005,5,2,3.618
20801,LARGE PINK GLASS SUNDAE DISH,1422.0,1092,111,61,2.2076521739130435
20802,SMALL GLASS SUNDAE DISH CLEAR,1596.81,1051,116,68,2.104051724137931
20803,SMALL PINK GLASS SUNDAE DISH,874.46,1149,84,50,1.6960714285714285
20804,GLASS CHICKEN BUTTER DISH,579.3100000000001,325,61,21,2.6788524590163934
20812,EMBOSSED FLOWER TRELLIS PHOTO FRAME,12.75,5,3,3,2.55
20814,SILVER FINCH DECORATION,208.89000000000001,189,13,7,1.2061538461538461
20816,GOLD FLOWER CUSHION COVER,123.6,24,7,5,5.378571428571428
20818,GOLD TEDDY BEAR,268.5,87,30,20,4.491666666666666
20819,SILVER TEDDY BEAR,631.49,228,65,39,3.888
20820,SILVER LOOKING MIRROR,54.45,11,8,6,4.95
20821,GOLDIE LOOKING MIRROR,286.42,42,25,10,7.882000000000001
20822,SILVER WINE GOBLET,9.3,2,1,1,4.65
20823,GOLD WINE GOBLET,533.71,253,19,14,3.6510526315789478
20825,GOLD WINE GLASS,1255.08,361,7,5,6.831428571428572
20826,SILVER APERITIF GLASS,290.72,355,14,11,1.3478571428571429
20827,GOLD APERITIF GLASS,209.36,173,8,5,1.63375
